"","title","doi","pmid","nlmid","ads_id","altmetric_jid","issns","journal","abstract","abstract_source","cited_by_gplus_count","cited_by_fbwalls_count","cited_by_posts_count","cited_by_tweeters_count","cited_by_accounts_count","cited_by_feeds_count","cited_by_rdts_count","cited_by_msm_count","cited_by_delicious_count","cited_by_forum_count","cited_by_qs_count","cited_by_rh_count","score","mendeley","connotea","citeulike","url","added_on","published_on","subjects","scopus_subjects","last_updated","readers_count","details_url","altmetric_id","schema","is_oa","publisher_subjects","publisher_subjects.name","publisher_subjects.scheme","publisher_subjects.name.1","publisher_subjects.scheme.1","publisher_subjects.name.2","publisher_subjects.scheme.2","cited_by_posts_count.1","cited_by_fbwalls_count.1","pmc","X17_cited_by_accounts_count","X17_cited_by_tweeters_count","X19_cited_by_posts_count","X10_cited_by_accounts_count","X11_cited_by_posts_count"
"1",1,1,1,1,1,1,1,1,1,1,NA,1,7,5,7,NA,NA,NA,NA,NA,NA,1,3.7,69,0,0,"http://dx.doi.org/10.1371/journal.pone.0012182",NA,1262304000,"science,medicine,","Medicine, Health Sciences, Biochemistry, Genetics and Molecular Biology, Life Sciences, Agricultural and Biological Sciences, ",1368639319,69,"http://www.altmetric.com/details.php?citation_id=131310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,1,1,NA,1,1,1,1,1,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,12.328,56,0,1,"http://dx.doi.org/10.1098/rspb.2010.0985",NA,1277852400,"biology,","Medicine, Health Sciences, Life Sciences, Agricultural and Biological Sciences, Immunology and Microbiology, Physical Sciences, Environmental Science, Biochemistry, Genetics and Molecular Biology, ",1366982340,57,"http://www.altmetric.com/details.php?citation_id=107419",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,23,0,0,"http://onlinelibrary.wiley.com/doi/10.1111/eva.12026/abstract;jsessionid=816AC8995FB1A0BE819337215D0B59C1.d04t02",1358901776,1356998400,",","Biochemistry, Genetics and Molecular Biology, Life Sciences, Agricultural and Biological Sciences, ",1358901768,23,"http://www.altmetric.com/details.php?citation_id=1191657",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.25,12,0,0,"http://www.sciencedirect.com/science/article/pii/S0022098113001184",1381960416,1372633200,",","Life Sciences, Agricultural and Biological Sciences, ",1366435821,12,"http://www.altmetric.com/details.php?citation_id=1833340",1,1,1,NA,"Environmental Sciences","era","Agricultural And Veterinary Sciences","era","Biological Sciences","era",NA,NA,NA,NA,NA,NA,NA,NA
"5",1,1,1,1,NA,1,1,1,1,1,NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,1,64,0,0,"http://dx.doi.org/10.1371/journal.pone.0027492",1321096987,1320796800,"science,medicine,","Medicine, Health Sciences, Biochemistry, Genetics and Molecular Biology, Life Sciences, Agricultural and Biological Sciences, ",1321286984,64,"http://www.altmetric.com/details.php?citation_id=452774",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,1.85,22,0,0,"http://www.sciencedirect.com/science/article/pii/S0022098111003789",1353343218,1322697600,",","Life Sciences, Agricultural and Biological Sciences, ",1353343370,22,"http://www.altmetric.com/details.php?citation_id=1076964",1,1,1,NA,"Environmental Sciences","era","Agricultural And Veterinary Sciences","era","Biological Sciences","era",2,NA,NA,NA,NA,NA,NA,NA
"7",1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,7,6,7,NA,NA,NA,NA,NA,NA,NA,4.1,6,0,0,"http://www.sciencedirect.com/science/article/pii/S0022098112003346",1351571997,1354320000,",","Life Sciences, Agricultural and Biological Sciences, ",1352132767,6,"http://www.altmetric.com/details.php?citation_id=1030188",1,1,1,NA,"Environmental Sciences","era","Agricultural And Veterinary Sciences","era","Biological Sciences","era",NA,1,NA,NA,NA,NA,NA,NA
"8",1,1,1,1,1,1,1,1,1,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,1,6.448,233,0,6,"http://dx.doi.org/10.1073/pnas.0908284106",1325325555,1261267200,"science,","General, ",1368639299,239,"http://www.altmetric.com/details.php?citation_id=534137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"9",1,1,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.25,12,0,0,"http://dx.doi.org/10.1016/j.ecss.2013.06.023",1383425827,1383264000,",","Physical Sciences, Earth and Planetary Sciences, Life Sciences, Agricultural and Biological Sciences, ",1383425784,12,"http://www.altmetric.com/details.php?citation_id=1878439",1,1,1,NA,"Earth Sciences","era","Environmental Sciences","era","Biological Sciences","era",NA,1,NA,NA,NA,NA,NA,NA
"10",1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,11,0,0,"http://dx.doi.org/10.1890/13-0228.1",1377851060,1377730800,"environmentalhealth,","Life Sciences, Agricultural and Biological Sciences, ",1399552538,11,"http://www.altmetric.com/details.php?citation_id=1719901",1,1,1,NA,"Ecological Applications","era","Ecology","era",NA,NA,NA,NA,NA,17,17,19,NA,NA
